,Artist,Artist_Id,Compilation_Name,Compilation_Id,Track_Title,Track_Id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Click-B,2kOGSFThgEzPEjL4fFB25w,The Best Of Click-B,7v8ud1pc0Y9xvPGFtVJYbO,스캔들,5ylUgQPsprPXqbj40qbY76,0.765,0.877,10,-4.082,0,0.0614,0.0185,1.85e-05,0.0982,0.933,102.038,204760,4
1,Click-B,2kOGSFThgEzPEjL4fFB25w,The Best Of Click-B,7v8ud1pc0Y9xvPGFtVJYbO,보라빛향기,7GfcHqyVb9VdHBGHhTcYuU,0.321,0.887,7,-4.371,1,0.237,0.00455,0.0,0.288,0.275,78.301,191107,4
2,Click-B,2kOGSFThgEzPEjL4fFB25w,The Best Of Click-B,7v8ud1pc0Y9xvPGFtVJYbO,Never Say,5WwkjpQCnMvLAGYnXwCgWb,0.57,0.956,6,-5.014,1,0.064,0.00292,0.0,0.282,0.834,144.994,214427,4
3,Click-B,2kOGSFThgEzPEjL4fFB25w,The Best Of Click-B,7v8ud1pc0Y9xvPGFtVJYbO,단한번만...,453ZYLlY6PSIuvqMrI9Bn6,0.676,0.404,9,-7.232,0,0.0909,0.171,0.000391,0.133,0.673,68.011,247907,4
4,Click-B,2kOGSFThgEzPEjL4fFB25w,The Best Of Click-B,7v8ud1pc0Y9xvPGFtVJYbO,Break It,4WrcbHIcp7ND1BwPCb5ota,0.548,0.912,9,-4.659,1,0.199,0.00195,0.0,0.154,0.311,98.039,250827,4
5,Click-B,2kOGSFThgEzPEjL4fFB25w,The Best Of Click-B,7v8ud1pc0Y9xvPGFtVJYbO,환영문,7GM1Lo9s6kyI1rn2vPHp94,0.604,0.955,2,-4.646,1,0.0484,0.0127,1.03e-05,0.0691,0.565,116.02,258133,4
6,Click-B,2kOGSFThgEzPEjL4fFB25w,The Best Of Click-B,7v8ud1pc0Y9xvPGFtVJYbO,Cowboy,6WS11nF6DZl9LeMDTmJWpI,0.815,0.845,6,-3.799,0,0.183,0.04,0.0,0.304,0.793,96.986,209267,4
7,Click-B,2kOGSFThgEzPEjL4fFB25w,The Best Of Click-B,7v8ud1pc0Y9xvPGFtVJYbO,Love Letter,0fTqVwWqGbpFUe3bgJ9mHl,0.612,0.962,8,-4.688,1,0.0544,0.0235,0.000681,0.0831,0.853,102.003,222240,4
8,Click-B,2kOGSFThgEzPEjL4fFB25w,The Best Of Click-B,7v8ud1pc0Y9xvPGFtVJYbO,백전무패,1eR8EcfbPAYeHqvMsyEh2z,0.646,0.979,4,-3.51,0,0.0903,0.0521,0.0,0.191,0.684,102.001,265867,4
9,Click-B,2kOGSFThgEzPEjL4fFB25w,The Best Of Click-B,7v8ud1pc0Y9xvPGFtVJYbO,하늘아,1Qy4SrFeh1kaL2mtVBKbfB,0.559,0.907,7,-5.192,0,0.0389,0.00623,0.0,0.372,0.571,142.949,234187,4
