,Artist,Artist_Id,Single_Album_Name,Single_Album_Id,Track_Title,Track_Id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,SECHSKIES,6uRyNreOHUvWPNGnKfIo27,DON'T LOOK BACK,63fxv7o113Zji3oLeXgswm,DON’T LOOK BACK,3szqGZtiiS8hmIPcT9qBgh,0.535,0.484,0.0,-8.209,1.0,0.0301,0.678,2.18e-06,0.108,0.233,124.038,249263.0,4.0
1,SECHSKIES,6uRyNreOHUvWPNGnKfIo27,ALL FOR YOU,7vqIRL00YfTtuO0sSAK3Uv,ALL FOR YOU,4jB0ikdBeXiIIP97TPXIPt,0.622,0.756,4.0,-4.838,0.0,0.0473,0.0705,0.0,0.108,0.718,167.902,242977.0,4.0
2,SECHSKIES,6uRyNreOHUvWPNGnKfIo27,ALL FOR YOU,7vqIRL00YfTtuO0sSAK3Uv,DREAM,5d0AZT2CWAH4mApoiXlTDa,0.676,0.593,11.0,-5.368,1.0,0.0346,0.303,0.0,0.12,0.314,140.011,243714.0,4.0
3,SECHSKIES,6uRyNreOHUvWPNGnKfIo27,ALL FOR YOU,7vqIRL00YfTtuO0sSAK3Uv,MEANINGLESS,2FHTNle5MybRe4k0GfjHFq,0.793,0.799,7.0,-3.051,0.0,0.0318,0.189,0.0,0.112,0.777,122.989,221587.0,4.0
4,SECHSKIES,6uRyNreOHUvWPNGnKfIo27,ALL FOR YOU,7vqIRL00YfTtuO0sSAK3Uv,ROUND & ROUND,0pO0z7133jfdG6MkGA5Mym,0.702,0.702,5.0,-4.21,0.0,0.029,0.128,0.0,0.121,0.57,130.045,246303.0,4.0
5,SECHSKIES,6uRyNreOHUvWPNGnKfIo27,ALL FOR YOU,7vqIRL00YfTtuO0sSAK3Uv,WALKING IN THE SKY,7yTryQD1n1PGjrqKTxh4na,0.751,0.735,0.0,-3.24,0.0,0.0364,0.194,0.0,0.193,0.578,125.95,221595.0,4.0
6,SECHSKIES,6uRyNreOHUvWPNGnKfIo27,THREE WORDS,6pN2wvuzGHURmVNXbpRaei,THREE WORDS,3xxqDGYqGNTIi5H8KJHDtC,0.65,0.616,0.0,-4.69,1.0,0.0366,0.0311,0.0,0.224,0.586,147.991,243243.0,4.0
7,S.E.S.,61HUG80Xma4rnXsqfZkzeM,Love (story) - SM STATION,3j2XirA7CqIqkwuQfO7wkR,Love [story],7jdRhISt05YmJAKD0eGEeX,0.714,0.931,5.0,-2.093,1.0,0.0552,0.334,1.68e-05,0.252,0.81,103.01,239093.0,4.0
8,S.E.S.,61HUG80Xma4rnXsqfZkzeM,Love (story) - SM STATION,3j2XirA7CqIqkwuQfO7wkR,Love [story] - Instrumental,0jT6xrrvWpeVgnk3d8X1lr,0.756,0.896,7.0,-4.253,1.0,0.0399,0.00782,0.813,0.0599,0.792,103.009,235579.0,4.0
9,S.E.S.,61HUG80Xma4rnXsqfZkzeM,Remixed,4jBlaJL3oauZCX9VeseBJC,달리기 - J-Bait Disco Mix,6p9nbwXxgbLnsUOM5XCcGV,0.751,0.923,0.0,-4.242,1.0,0.0689,0.107,1.96e-05,0.0839,0.857,113.004,217133.0,4.0
10,S.E.S.,61HUG80Xma4rnXsqfZkzeM,Remixed,4jBlaJL3oauZCX9VeseBJC,Just a Feeling - Liquid Electro Mix,4i1UpGdwXGn04A3XbDktpr,0.775,0.891,8.0,-3.639,1.0,0.0951,0.23,1.17e-05,0.335,0.613,112.013,248493.0,4.0
11,S.E.S.,61HUG80Xma4rnXsqfZkzeM,Remixed,4jBlaJL3oauZCX9VeseBJC,달리기 - Vibe7 Bossa Nova Mix,2okufBPlpe3hRnlLshHhB3,0.698,0.77,2.0,-7.483,1.0,0.0311,0.121,0.000813,0.136,0.83,103.006,212973.0,4.0
12,S.E.S.,61HUG80Xma4rnXsqfZkzeM,Remixed,4jBlaJL3oauZCX9VeseBJC,Just a Feeling - Vibe7 Timber Mix,5mtBA6KVm3PrdqSTsC9xzV,0.836,0.95,8.0,-4.243,1.0,0.0806,0.0758,1.4e-05,0.161,0.823,112.038,209733.0,4.0
13,S.E.S.,61HUG80Xma4rnXsqfZkzeM,Remixed,4jBlaJL3oauZCX9VeseBJC,달리기 - Gump Fusion Mix,68Ae2aOhJ2lYAT24NM5wwL,0.769,0.63,9.0,-6.736,0.0,0.0349,0.0567,0.000185,0.105,0.658,103.0,272000.0,4.0
14,S.E.S.,61HUG80Xma4rnXsqfZkzeM,Remixed,4jBlaJL3oauZCX9VeseBJC,Just a Feeling - Olivier Techno Mix,7sVu2zLiHx3apCAOHLT9AL,0.7,0.963,10.0,-3.676,0.0,0.0479,0.00287,0.00331,0.138,0.38,112.049,245427.0,4.0
15,Fin.K.L,2aRLyjYp7WPr4EkjkI1gvS,"FIN.K.L SINGLE ""Like the song remains""",1Qwyg4hhC6gv8x42kq9Qru,Like the song remains,09xmt6Eynv9tDFpKCimYYY,0.554,0.565,5.0,-7.258,1.0,0.0297,0.0631,0.0,0.466,0.447,141.992,277213.0,4.0
16,Fin.K.L,2aRLyjYp7WPr4EkjkI1gvS,"FIN.K.L SINGLE ""Like the song remains""",1Qwyg4hhC6gv8x42kq9Qru,Like the song remains - Instrumental,2UejtxK8HXijOJwxEMDDVJ,0.621,0.449,5.0,-9.358,1.0,0.0305,0.00444,0.645,0.372,0.498,142.019,273331.0,4.0
17,Fin.K.L,2aRLyjYp7WPr4EkjkI1gvS,Fin.K.L Digital Album,08u61FSaRTXKe6CD7RePvp,Butterfly,7E6J7kb0hFSdP4FXgkf22o,0.779,0.954,4.0,-1.867,0.0,0.111,0.0895,0.00127,0.0881,0.813,112.03,199200.0,4.0
18,Fin.K.L,2aRLyjYp7WPr4EkjkI1gvS,Fin.K.L Digital Album,08u61FSaRTXKe6CD7RePvp,FINKL,3N3Awl5VwisVkpTayCphR1,0.75,0.91,11.0,-1.14,0.0,0.15,0.016,2.19e-06,0.346,0.731,107.05,220493.0,4.0
19,Fin.K.L,2aRLyjYp7WPr4EkjkI1gvS,Fin.K.L Digital Album,08u61FSaRTXKe6CD7RePvp,I'm Crazy About You,7L848vZxehtVoVeELFgPKA,0.774,0.447,11.0,-5.757,0.0,0.0292,0.0306,0.0,0.0695,0.369,97.995,251307.0,4.0
20,Shinhwa,0jVvkFPa6YbFXQ3Qmhita0,SHINHWA TWENTY SPECIAL ALBUM 'HEART',1F4ew4S5UvxCTg28U2J1cR,In The Air,1FaigrqbVCtRDL0Dn8QMzg,0.659,0.757,1.0,-4.995,1.0,0.0775,0.0103,5.01e-06,0.0637,0.265,98.022,232093.0,4.0
21,Shinhwa,0jVvkFPa6YbFXQ3Qmhita0,SHINHWA TWENTY SPECIAL ALBUM 'HEART',1F4ew4S5UvxCTg28U2J1cR,Kiss Me Like That,0oglNTvqT3R3vV5IF2klqN,0.888,0.526,5.0,-7.368,1.0,0.114,0.363,1.31e-06,0.0933,0.783,114.014,196587.0,4.0
